,food_name,glycemic_index(GI),sugar
1487,"Chapatti, flour from roller dried wheat, moth bean",60,23
1488,"Chapatti, wheat flour, thin, with green gram",44,22
1489,"Cheela, bengal gram (Cicer arietinum)",42,12
1490,"Cheela, bengal gram (Cicer arietinum),",36,10
1491,"Cheela, green gram (Phaseolus aureus)",45,12
1492,"Cheela, green gram (Phaseolus aureus),",38,10
1493,"Dosai (parboiled and raw rice, soaked, ground,",55,22
1494,"Green gram, (Phaseolus aureus), soaked 12 h,",38,6
1495,"Horse gram, (Dolichos biflorus) soaked 12 h,  5",51,15
1496,"Idli (parboiled and raw rice with black dhal, soaked,",60,31
1497,Lentil and cauliflower curry with rice (Australia) 6,60,31
1498,"Millet/Ragi, (Eleucine coracana), dehusked,  6",68,23
1499,"Pongal (rice and roasted green gram dhal,",45,35
1500,Poori (deep-fried wheat flour dough) with,57,28
1501,"Tapioca (Manihot utilissima), steamed 1h14 7",70,12
1502,"Upittu (roasted semolina and onions, cooked in water)",69,28
1503,"Macrozamia communis (cycad palm seed), sliced,",40,10
1504,"Green banana, boiled (New Zealand)",38,8
1505,Plantain (Musa AAB) (Fiji),68,21
1506,Roti/chappati (Fiji),59,16
1508,Tannia (Xanthosoma sagittifolium) (Fiji),63,23
1511,"Acorns (Quercus emoryi, stewed with venison8",16,1
1512,Corn hominy (Zea mays)8,40,12
1513,Lima beans broth (Phaseolus lunatus)8,36,12
1514,White teparies broth (Phaseolus acutifolius)8,31,10
1515,Yellow teparies broth (Phaseolus acutifolius)8,29,8
1516,Ground beef served with rice and an orange (Chile),31,24
1517,"Lentil soup, pureed consumed with an orange (Chile)",49,16
1518,Spaghetti served with beef tomato sauce,42,21
1519,Spaghetti served with pressure-cooked white beans 7,77,25
1520,"Breadfruit (Artocarpus altilis), peeled, boiled 26 min,",60,17
1522,"Dasheen, peeled, boiled 30 min, refrigerated, 7",77,44
1523,"Dasheen, peeled, boiled 30 min, crushed, refrigerated,",66,38
1524,"Dasheen, peeled, boiled 30 min, uncrushed (whole),  7",75,43
1525,"Dasheen, peeled, cubed, boiled 30 min (Jamaica)",72,19
1526,"Eddoe (Colocasia esculenta var. antiquorum),  6",61,21
1527,"Green banana, peeled, boiled 10 min (Jamaica)",37,10
1528,"Green banana, peeled, fried in vegetable oil (Jamaica)",35,11
1529,"Green banana/plantain, boiled 23 min, frozen,  6",65,17
1530,"Green plantain (Musa paradisiaca), peeled,",39,9
1531,"Green plantain (Musa paradisiaca), peeled, fried",40,14
1532,"Ripe plantain (Musa paradisiaca), peeled,",66,13
1533,"Ripe plantain (Musa paradisiaca), peeled, fried",90,26
1534,"Irish potato (Solanum tuberosum), peeled,",71,35
1535,"Irish potato, peeled, boiled 30 min, crushed",66,33
1536,"Irish potato, peeled, boiled 30 min, uncrushed (whole),  6",66,33
1537,Sadha roti (leavened wheat-based brea,65,
1538,"Tannia (Xanthosoma sagittifolium), peeled,",60,33
1539,"Tannia, peeled, boiled 30 min, crushed, refrigerated,",52,29
1540,"Tannia, peeled, boiled 30 min, uncrushed (whole),",50,28
1542,"Lucea yam (Dioscorea rotunda),  peeled, cubed,",74,20
1543,"Lucea yam, peeled, roasted on preheated charcoal",77,29
1544,"Negro yam (Dioscorea rotundata), peeled, cubed,",73,23
1546,"Round leaf yellow yam (Dioscorea cayenensis),",68,23
1547,"Round leaf yellow yam, peeled, roasted on preheated",80,32
1548,"Sweet yam (Dioscorea alata), peeled, cubed,",79,20
1550,"White yam (Dioscorea alata), peeled, boiled 30 min,",62,15
1553,Mean ± SEM. Two GI values are shown for each food - one in which glucose sugar was used as the reference food and one in which white bread was used as the refe,,
1554,"Sponge cake, plain (Canada)",46,17
1555,Pastry (Canada),59,15
1556,"Lucozade®, original (sparkling glucose drink) 95±1",95,40
1557,"Allsport®, orange (PepsiCo Inc., Somers, NY, USA) 53±",53,11
1558,"Cytomax®, orange (Cytosport, Concordia, CA, USA) 62",62,7
1559,"Gatorade®, orange flavor, US formula  89±1",89,13
1560,"GatorLode®, orange flavor 100±",100,51
1561,"Poweraid®, orange (Coca-Cola Company,  65±",65,13
1562,"XLR8®, orange flavor (Softpac Industries Inc., 68",68,9
1563,"Baguette, white, plain (France)",95,14
1564,"Classic French baguette (prepared with wheat flour,",83,15
1565,"Classic French baguette (prepared with wheat flour,",78,14
1566,"French bread, fermented with leaven (France)",80,13
1567,"French bread, fermented with yeast (France)",81,13
1568,Traditional French baguette (prepared with wheat,69,12
1569,"Bürgen® Dark/Swiss rye (Tip Top Bakeries, Australia",74,7
1570,White flour (Israel),78,12
1571,"Bürgen® Mixed Grain (Tip Top Bakeries,",69,8
1572,"MolenbergTM (Goodman Fielder, New Zealand)",84,12
1573,Middle Eastern flatbread,97,15
1574,"Pita bread, white (Sainsbury's, UK)",67,10
1575,"Pita bread, white (Value, UK)",69,10
1576,Wheat flour flatbread (India),66,11
1577,Amaranth : wheat (25:75) flour flatbread (India),66,10
1578,Amaranth : wheat (50:50) flour flatbread (India),76,11
1579,"Amaranth (Amaranthus esculentum) popped,",97,18
1580,"CornflakesTM (Kellogg's, Auckland, New Zealand)",72,18
1581,"Cornflakes (Kellogg's, France)",93,25
1582,"Cornflakes (Kellogg's, MI, USA) 1",132,33
1583,"Sultana Bran (Healthy Living, UK)",90,15
1584,"Thank GoodnessTM (Hubbards, New Zealand)",65,15
1585,"Juicy cereal bar (stavnata tycinka FIT, Usovsko,",85,17
1586,"Amaranth (Amaranthus esculentum) popped,",97,21
1587,Buckwheat (Canada) 5,51,15
1588,"Sweet corn, cooked (Israel)",52,17
1589,Sweet corn (Canada) 5,59,19
1590,"Millet, boiled (Canada) 7",71,26
1591,"White (Oryza sativa), boiled (India) 6",69,30
1592,"Long grain, boiled 25 min (Surinam)",56,24
1593,"Brown (Oryza Sativa), boiled (South India)6 5",50,17
1594,"Semolina, roasted at 105oC then gelatinised",55,6
1595,"Semolina, steamed and gelatinised (India)",54,6
1596,"Golden Fruit (Griffin's Foods Ltd.,",77,13
1597,"Oro (Saiwa, Italy)",67,21
1598,"Ice cream, NS (Canada",36,5
1599,"Ice cream, chocolate flavored (USA)",68,10
1600,"Probiotic drink, pink grapefruit (UK)4 60±1",60,20
1601,"Yoghurt, type NS (Canada)",36,3
1602,"Yoghurt, Strawberry (Healthy Living Light, UK)4",45,5
1603,"Yoghurt, low-fat, toffee (UK)4 5",51,15
1604,"Tofu-based frozen dessert, chocolate with 1",115,10
1605,"Apple, Braeburn (New Zealand)4",32,4
1606,Banana (Israel),49,12
1607,"Dates, dried (Australia) 1",103,42
1608,"Dates, NS type (Israel)",62,21
1609,"Kiwi fruit, Hayward (New Zealand)4",47,6
1610,"Mango, ripe (Mangifera indica) (India)6",60,9
1611,"Orange, NS (Israel)",47,6
1612,"Paw paw (papaya), ripe (India)6 6",60,17
1613,"Pear, Winter Nellis, raw (New Zealand)4",34,4
1614,Raisins (Israel),66,28
1615,"Orange juice, reconstituted from  57±",57,15
1616,"Butter beans, dried, soaked, cooked 1.25 h",29,6
1617,"Butter beans, dried, boiled + 5 g sucrose",30,6
1618,"Butter beans, dried, boiled + 10 g sucrose",31,6
1619,"Butter beans, dried, boiled + 15 g sucrose",54,11
1620,"Kidney beans, dried, boiled (France)",23,6
1621,"Lentils, green, dried, boiled (France)",30,5
1622,"Boost®, vanilla flavor (Mead Johnson,  53±",53,23
1623,"Boost High-Protein®, vanilla flavor (Mead Johnson,  59±",59,21
1624,Chocolate soya weight management drink (UK)16 73±1,73,26
1625,"GatorPro®, chocolate flavor (Gatorade,  89±",89,40
1626,"Met-RX ®, vanilla (Met-RX substrate 58±",58,6
1627,"Optifuel (Twin Laboratories Inc,  78±",78,27
1628,Fish Fingers (Canada),38,7
1629,"Kugel (Polish dish containing egg noodles, sugar,",65,31
1630,"Sausages, NS type (Canada)",28,1
1631,Stirfried vegetables with chicken and boiled 7,73,55
1632,Classic French Baguette with 10 g butter and 5,59,25
1633,"Biosorb® drink, standard (Nutricia N.V., Netherlands)4 50±1",50,15
1634,"EnsureTM, vanilla flavor (Abbott Laboratories, 75±1",75,33
1635,Nutridrink® enteral formula  61±1,61,28
1636,Nutridrink Multi Fibre® enteral formula 53±1,53,24
1637,Peanuts (Canada),13,1
1638,"Spaghetti, Durum wheat, boiled 20 min (USA) 6",64,27
1639,White (Israel),42,20
1640,"Burger RingsTM, barbeque-flavored (Smith's Snack",90,28
1641,"Chocolate, milk, plain, low-sugar",35,8
1642,"Juicy cereal bar (Stavnata Tycinka FIT,",85,17
1643,"Clif bar, Cookies & Cream flavor",101,49
1644,"MET-Rx Bar, vanilla flavor",74,24
1645,"Power bar®, chocolate (Powerfood Inc,",83,37
1646,"PR-bar, Cookies 'N Cream flavor",81,23
1647,Tomato soup (Canada),38,6
1648,50 g portio,20,2
1649,100 g Glucose + 20 g cellulose20,103,10
1650,50 g portion,59,6
1651,25 g portion4 1,110,11
1652,"Isomalt (Sudzucker AG, Mannheim, Germany)",2,0
1653,"Isomaltulose, PalatinoseT",32,3
1654,"25 g lactitol5,2",-1,0
1655,"25 g lactitol MC (Danisco sweeteners, Surrey, UK)",3,0
1656,"25 g Litesse II, bulking agent with polydextrose a",7,1
1657,"25 g Litesse III ultra, bulking agent with polydextros",4,0
1658,"Lycasin® HBC, syrup containing 50-55% maltitol,",47,5
1659,"Lycasin® HBC, syrup containing 50-55% maltitol",25,3
1660,"25 g Malbit CR (87% maltitol) (Cerestar,",30,3
1661,25 g Maltidex 100 (> 72% maltitol),44,4
1662,25 g Malbit CH (99% maltitol),73,7
1663,25 g Maltidex 200 (50% maltitol),89,9
1664,"Tagatose sugar replacement, Gai",3,0
1665,25 g xylitol,7,1
1666,"25 g  Xylitol C (Danisco Sweeteners, UK)",8,1
1667,Broad beans (Canada)4,79,9
1668,"Pea, cooked (Israel",35,5
1670,Sweet corn (Canada),59,11
1671,Beetroot (Canada)4,64,4
1672,"Carrots, NS (Canada)4",92,6
1673,"Carrots, peeled, boiled, ground to smooth paste",60,4
1674,Parsnips (Canada)4,97,12
1675,"Desiree, peeled, quartered, boiled 15 min in  7",77,13
1676,"Maris Peer potato, peeled, quartered, boiled 15 min 9",94,27
1677,"Nardine, boiled (New Zealand) 7",70,18
1678,Instant (France) 7,74,15
1679,Instant (UK) 9,95,17
1680,"Sweet potato, NS (Canada)",48,16
1681,"Sweet potato, kumara (New Zealand)",78,20
1682,Swede (rutabaga) (Canada)4,72,7
1683,"Tapioca, boiled (India)6",93,17
1684,"Yam, peeled, boiled (New Zealand)",25,9
1685,Yam (Canada) 5,51,18
1686,"Ga Kenkey, prepared from fermented cornmeal",44,18
1687,"Gari, roasted cassava dough (Manihot utilissima)",49,13
1688,"Green plantain (musa paradisiaca), boiled (Ghana)23 41±5 1",41,15
1689,"White rice (Oryza sativa), boiled (Ghana)23",40,17
1690,White yam (Dyscoria  species) (Ghana)23,65,26
1691,Kibbeh saynieh (made with lamb and burghul),61,9
1692,"Majadra (Syrian, lentils and rice)",24,10
1693,Middle Eastern flatbread,97,16
1694,"Moroccan Couscous (stew of semolina,",58,17
1695,"Stirfried vegetables, chicken and rice, 7",73,55
1696,"Amaranth (Amaranthus esculentum), popped,",97,18
1697,Appam (thin pancake made from fermented,90,58
1698,"Bajra (Penniseteum typhoideum), eaten as 55±13",55,28
1699,"Chapatti, amaranth-wheat (25:75) composite flour,",66,20
1700,"Chapatti, amaranth-wheat (50:50) composite flour,",76,23
1701,"Chapatti, wheat, served with bottle gourd",66,21
1702,"Chapatti, wheat flour, thin, with green gram",81,41
1703,"Dhokla, leavened, fermented, steamed cake;",35,7
1704,"Dhokla, leavened, fermented, steamed cake;",31,9
1705,"Dosai (parboiled and raw rice, soaked, ground,",77,30
1706,"Green gram, whole with varagu 57±6",57,29
1707,"Green gram dhal with varagu, pressure cooked 78±12",78,39
1708,Idiappam (steamed rice flour dough with,86,52
1709,"Idli (parboiled and raw rice + black dhal, soaked,",77,40
1710,"Jowar, roasted bread made from Jowar flour 77±8",77,39
1711,"Laddu (popped amaranth, foxtail millet, roaste",24,7
1712,"Laddu (popped amaranth, foxtail millet, roaste",29,9
1713,Millet/Ragi (Eleucine coracana) flour eaten 104±13,104,52
1714,"Pongal (rice and roasted green gram dhal,",90,47
1715,Poori (deep-fried wheat flour dough) with,82,34
1716,"Puttu (rice flour, steamed with tender coconut)",79,58
1717,"Rice (Oryza Sativa), boiled served with bottle gourd 6",69,26
1718,"Semolina (Triticum aestivum), steamed 55±9",55,28
1719,"Semolina (Triticum aestivum), pre-roasted 76±6",76,38
1720,Semolina (Triticum aestivum) with fermented black  46±12,46,23
1721,Semolina (Triticum aestivum) with fermented 62±20,62,31
1722,Semolina (Triticum aestivum) with fermented  54±7,54,27
1723,"Varagu (Paspalum scorbiculatum), pressure cooked 68±8",68,34
1724,"Upittu (roasted semolina and onions, cooked in water)",67,28
1725,"Uppuma kedgeree (millet, legumes, fenugreek seeds;",18,6
1726,"Uppuma kedgeree (millet, legumes, fenugreek seeds;",19,6
1728,Melawach (dough made from white wheat flour 6,61,32
1729,Melawach,71,38
1730,Melawach + 15 g locust bean (Ceratonia siliqua),31,16
1731,Melawach + 15 g maize cob fiber (insoluble) 5,59,31
1732,Melawach + 15 g lupin (Lupinus albus) fiber 7,72,38
1735,Mesquite cakes (Prosopis velutina),25,1
1736,"Burrito (made from scrambled eggs, tomato, onions",37,
1737,"Burrito (made from scrambled eggs, tomato, onions",29,
1738,Chilaquiles (casserole made from corn tortilla,51,
1739,Chilaquiles (casserole made from corn tortilla,35,
1740,"Quesadillas (made from low-fat cheese, avocado",36,
1741,"Quesadillas (made from low-fat cheese, avocado",25,
