,food_name,glycemic_index(GI),sugar
360,"Rice PopsTM (Sainsbury's, UK),",80,20
361,"Cereal biscuit (30 g), cocoa flavor (UK)",46,12
362,"Cereal biscuit (30 g), fruit flavor (UK)",56,15
363,"Cereal biscuit (30 g), honey flavor (UK)",52,14
364,"Cereal biscuit (30 g), wheat based (UK)",47,12
365,"Cereal bar, cranberry flavor (UK",42,6
366,"Cereal bar, hazelnut flavor (UK",33,4
367,"Cereal bar, orange flavor (UK",33,5
368,"Crunchy Nut CornflakesTM bar (Kellogg's, Australia)",72,19
369,"Fiber PlusTM bar (Uncle Toby's, Australia)",78,18
370,"Fruity-BixTM bar, wheat biscuit cereal with dried fruit",56,11
371,"Fruity-BixTM bar, wild berry, wheat biscuit cereal and",51,9
372,"Hi-LiteTM breakfast bar (Freedom Foods, Australia)",53,11
373,"K-Time Just RightTM bar (Kellogg's, Australia)",72,17
374,"K-Time Strawberry CrunchTM bar (Kellogg's, Australia)",77,19
375,"Muesli breakfast bar, gluten-fre",50,9
376,"Omega bar, containing linseeds, sunflower kernels",21,3
377,"Rice Bubble TreatTM bar (Kellogg's, Australia)",63,15
378,"SustainTM bar (Kellogg's, Australia)",57,14
379,"Barley, pot, boiled in salted water 20 min",25,11
380,"Barley, pearled, boiled 60 min (UK)",35,15
381,"Barley, pot, boiled (Goudas Food Products, Canada)",35,15
382,"Barley, rolled (Australia) 66±5",66,25
383,Corn granules (China),52,15
384,Cornmeal porridge (China),68,9
385,"Sweet corn, 'Honey & Pearl' variety (New Zealand) 3",37,11
386,Sweet corn (China),55,18
387,Sweet corn (South Africa),62,20
388,"Couscous, rehydrated with hot water",65,9
389,Millet porridge (China),62,22
390,"Quinoa, cooked, refridgerated, reheated in microwave",53,13
391,"Arborio, risotto rice, boiled (SunRice brand,",69,36
392,Type NS (Canada),72,30
393,Type NS (China),83,30
394,"Long grain, white (Uncle Bens, Auckland,",56,24
395,"Premium long grain, white (SunRice brand,",59,24
396,"Long grain, white, boiled 7 min (Star brand,",64,26
397,"Long grain, boiled (Star Brand, Goudas Food",69,28
398,"Long grain, parboiled 10 min cooking time",68,25
399,"Long grain, parboiled, 20 min cooking time",75,28
400,"Long grain, white, pre-cooked, microwaved 2 min",52,19
401,"Long Grain White Rice in 90 Seconds, microwaved",76,44
402,"Medium grain white rice, boiled 12 mins",75,29
403,Rice porridge (China),69,23
404,Rice porridge (Australia),88,13
405,"Rice porridge, made from rice bran (China)",19,3
406,"Rice porridge, made from black rice (China)",42,14
407,"Rice porridge, made from Sticky rice (China)",65,21
408,"American, easy-cook rice (Sainsbury's, UK) 4",49,22
409,"Broken rice, white, cooked in rice cooker  8",86,37
410,"Brown Rice, Uncle Ben's® Ready Whole Grain",48,20
411,"Brown & Wild, Uncle Ben's® Ready Whole Grain",45,18
412,"Chicken Flavored Brown Rice, Uncle Ben's® Ready",46,18
413,"Glutinous rice, white, cooked in rice cooker",98,31
414,"Jasmine Fragrant rice, white (SunRice brand,",89,37
415,"Jasmine rice, white long grain, cooked in rice cooker  10",109,46
416,"Long Grain and Wild, Uncle Ben's® Ready Rice",49,21
417,"Original Long Grain, Uncle Ben's® Ready Rice",48,22
418,"Red Raw rice, Sri Lankan, cooked in rice cooker 59±4 1",59,46
419,"Roasted Chicken Flavored, Uncle Ben's® Ready",51,21
420,"Santa Fe, Uncle Ben's® Ready Whole Grain",48,18
421,"Spanish Style, Uncle Ben's® Ready Rice (pouch)",51,22
422,"Vegetable Harvest, Uncle Ben's® Ready Whole",48,17
423,"Calrose, white, medium grain, boiled (Rice Growers  8",83,36
424,"Sungold, Pelde, parboiled (Rice Growers Co-op.,",87,37
425,"Waxy (0-2% amylose) (Rice Growers Co-op., Australia) 8",88,38
426,"Pelde, white (Rice Growers Co-op., Australia) 9",93,40
427,"Doongara, white, cooked in rice cooker (2007)",48,19
428,"Doongara, white (1995)",50,20
429,"Doongara, white (2005)",54,21
430,"Doongara, white (1995)",54,21
431,"Doongara, white (1992)",64,25
432,"Basmati, white, boiled (Sainsbury's, UK)",43,18
433,"Basmati, white, boiled 12 min (Value, UK) 5",52,15
434,"Basmati, white, organic, boiled 10 min (UK) 5",57,23
435,"Basmati, white, boiled (Mahatma brand, Australia)",58,22
436,"Basmati, white, boiled (SunRice brand,",65,25
437,"Basmati, white, boiled 8 min (UK)",69,28
438,"Basmati, easy cook, boiled 9 min (UK) 6",67,28
439,"Basmati, easy-cook rice (Sainsbury's, UK)",68,28
440,"Precooked basmati rice in pouch, white, reheated in",57,24
441,"Quick cooking white basmati, cooked 10 min,",60,23
442,"Japanese Style Sushi rice, white (SunRice brand, 8",85,33
443,"Japonica, short-grain brown rice (Japan)",62,26
444,"Japonica short-grain brown rice,",54,22
445,"Japonica short-grain brown rice,",57,23
446,"Koshikari (Japonica), white, short-grain,",48,18
447,"Japonica, short-grain white rice (Japan)",76,35
448,"Japonica, short-grain white rice (Japan)",75,34
449,Japonica white rice and pre-germinated Japonica,64,27
450,Japonica white rice and pre-germinated Japonica,67,30
451,"Koshihikari rice, white (SunRice brand,",73,28
452,"Japonica rice with 3 g Sunfibre, viscosity 1",68,27
453,"Japonica rice with 5 g Sunfibre, viscosity 1",66,26
454,Brown (Canada),66,21
455,"Brown rice, boiled in excess water for 25 mins",72,29
456,Brown rice (China),87,29
457,"Calrose brown (Rice Growers Co-op, Australia)",87,33
458,"Doongara brown, high amylose",66,24
459,"Medium Grain Brown Rice in 90 seconds,",59,30
460,"Pelde brown (Rice Growers Co-op, Australia)",76,29
461,"Parboiled, cooked 20 min, Uncle Ben's Natur-reis®",64,23
462,"Sunbrown QuickTM (Rice Growers Co-op, Australia)",80,31
463,"Instant rice, white, cooked 3 min (China)",46,19
464,"Instant rice, white, cooked 6 min",87,36
465,"Instant rice, white, cooked 6 min (China)",87,37
466,"Puffed, white, cooked 5 min, Uncle Ben's Snabbris®",74,31
467,"Instant Doongara, white, cooked 5 min",94,39
468,"Parboiled, low-amylose, Pelde, Sungold",87,34
469,"Parboiled, high-amylose (28%), Doongara",50,19
470,"Rice, Sticky (China)",87,24
471,"Rice, Sticky (China)",88,25
472,"Rice, Sticky, high-amylose (China)",50,14
473,"Wheat, whole kernels (Triticum aestivum)(India)14 30±9",30,11
474,"Durum wheat, precooked, cooked 20 min  52±4",52,19
475,"Durum wheat, precooked, cooked 10 min (Ebly, France) 50±5",50,17
476,"Durum wheat, precooked in pouch,",40,16
477,"Quick cooking (White Wings, Sydney, Australia) 5",54,25
478,"Apricot Temptation fruit cookies, 97% fat-free",47,8
479,"Milk ArrowrootTM (Arnotts, Sydney, NSW, Australia)",69,12
480,"Barquette Abricot (LU, Ris, Orangis, France)",71,23
481,Bebe Dobre Rano Chocolate (2002),46,16
482,Bebe Dobre Rano Chocolate (2006),46,16
483,Bebe Dobre Rano Chocolate,57,19
484,"Bebe Dobre Rano Coconut (LU, Czech Republic)",48,16
485,"Bebe Dobre Rano Four Cereals (LU, Czech Republic)",51,17
486,Bebe Dobre Rano Honey and Hazelnuts,51,17
487,Bebe Dobre Rano Nuts and Honey (2002),41,14
488,Bebe Dobre Rano Nuts and Honey (2006),45,15
489,"Bebe Dobre Rano with Milk (LU, Czech Republic)",50,18
490,"Bebe Jemne Susenky (Opavia/LU, Czech Republic)",67,14
491,"Better Choice Multicereals (LU, Denmark)",51,17
492,Better Choice Wholegrain (LU Denmark),46,16
493,Digestives (UK,39,6
494,Digestives (Canada,59,9
495,"Evergreen met Krenten (LU, Netherlands)",66,14
496,"Gran'Dia Banana, Oats and Honey (LU, Brazil",28,6
497,"Gran'Dia Chocolate with five cereals (Danone, Brazil",39,8
498,"Grany en-cas Abricot (LU, France",55,9
